id,true_0,score_0,score_1,score_2,score_3,score_4
122,0.0,0.4828505,0.1935261,0.17782985,0.12140728,0.024386352
123,3.0,0.65278196,0.12600358,0.13017741,0.0750521,0.015984962
124,3.0,0.14394659,0.13582763,0.26309577,0.33412346,0.12300651
125,1.0,0.14337882,0.12731376,0.27143097,0.32687834,0.1309981
126,1.0,0.3331995,0.20672424,0.20857307,0.2010636,0.05043958
127,0.0,0.73001593,0.08202764,0.11097105,0.061804935,0.015180495
128,4.0,0.29039007,0.11852114,0.24153192,0.24642968,0.10312722
129,2.0,0.40318942,0.20772451,0.20371358,0.14955625,0.03581625
130,1.0,0.38814652,0.19349241,0.21739815,0.1577888,0.043174136
131,0.0,0.57902396,0.14677845,0.15086287,0.10327532,0.020059397
132,3.0,0.23002161,0.13168465,0.257187,0.2615885,0.119518235
133,1.0,0.2581226,0.12452875,0.24119551,0.27215385,0.10399929
134,0.0,0.14405102,0.1462649,0.26217476,0.34005016,0.1074592
135,2.0,0.20134456,0.15015797,0.26788232,0.27455556,0.106059566
136,3.0,0.13014027,0.12054591,0.27048182,0.35276404,0.126068
137,0.0,0.9778236,0.00018330205,0.0060523725,0.015922712,1.8057339e-05
138,2.0,0.71364635,0.078304656,0.10037235,0.09037114,0.017305499
139,0.0,0.45010826,0.21750687,0.1811991,0.12817974,0.023005959
140,0.0,0.9102828,0.028002184,0.03459251,0.024981085,0.0021414955
141,0.0,0.36867687,0.20013411,0.21363351,0.18537384,0.03218171
142,0.0,0.74736255,0.09624378,0.101150915,0.045365095,0.009877706
143,1.0,0.39836025,0.18132955,0.21109723,0.17312223,0.036090773
144,2.0,0.8106347,0.018029623,0.08182111,0.08591788,0.0035967852
145,2.0,0.5493311,0.12994002,0.15802525,0.13118802,0.03151563
146,0.0,0.6281769,0.120039575,0.13947861,0.09172443,0.020580437
147,0.0,0.87780553,0.04028026,0.052588712,0.02497975,0.0043457383
148,2.0,0.87422085,0.04035028,0.043123294,0.03887913,0.003426441
149,0.0,0.23325142,0.11303008,0.24702007,0.28341693,0.12328151
150,0.0,0.3596668,0.14250867,0.22957836,0.20988153,0.058364604
151,2.0,0.20726861,0.098748855,0.2512726,0.3188643,0.1238457
152,1.0,0.6616494,0.11699784,0.1327207,0.07376908,0.014862968
153,1.0,0.17749056,0.12921782,0.26394174,0.29900828,0.13034159
154,1.0,0.39411953,0.22142711,0.2119957,0.14110978,0.031347845
155,0.0,0.16175167,0.11493358,0.2679998,0.3413276,0.11398738
156,0.0,0.691241,0.10729637,0.11943231,0.06824939,0.0137808705
157,0.0,0.75040287,0.07279793,0.10317617,0.062663235,0.0109598115
158,0.0,0.587973,0.12525815,0.15801355,0.10109531,0.027660016
159,0.0,0.7510332,0.075370446,0.1026576,0.05964864,0.011290089
160,2.0,0.11677167,0.10177361,0.28355107,0.32918686,0.16871679
161,4.0,0.60802716,0.1486416,0.1400788,0.087263145,0.015989302
162,1.0,0.48887807,0.17935252,0.17648144,0.12732865,0.027959334
163,3.0,0.3613382,0.21304633,0.23361948,0.1525098,0.039486155
164,3.0,0.22248408,0.1452771,0.24189176,0.2908941,0.09945302
165,0.0,0.20476103,0.112596214,0.25086498,0.31258583,0.11919192
166,3.0,0.14324091,0.13202013,0.2650609,0.32742932,0.1322488
167,3.0,0.54225045,0.13521993,0.17009756,0.12157261,0.030859414
168,0.0,0.39080217,0.16017473,0.20544341,0.18941614,0.05416355
169,3.0,0.21451639,0.110596366,0.25031903,0.29266053,0.1319077
170,3.0,0.14338467,0.117831044,0.2629463,0.3285794,0.14725855
171,4.0,0.25846153,0.19683051,0.25984475,0.21878412,0.066079095
172,0.0,0.76217806,0.028053544,0.10879478,0.0919877,0.008985955
173,0.0,0.24961182,0.13067625,0.24491192,0.26201895,0.11278107
174,0.0,0.53881896,0.16311236,0.16614053,0.10778911,0.024139073
175,2.0,0.18401885,0.12944564,0.26611638,0.29537934,0.12503974
176,4.0,0.19960412,0.13442227,0.26225385,0.28359994,0.12011974
177,0.0,0.35563752,0.12966163,0.22338693,0.2145322,0.07678169
178,0.0,0.3268983,0.10597724,0.2284057,0.23951234,0.09920637
179,0.0,0.47523656,0.15530452,0.17576481,0.15725704,0.036437146
180,3.0,0.12815534,0.09653172,0.27107358,0.35907954,0.14515987
181,1.0,0.16889095,0.11718149,0.26657236,0.32882896,0.118526265
182,3.0,0.3079591,0.16845988,0.25135255,0.2128523,0.059376188
183,0.0,0.7740689,0.08459245,0.08954155,0.0438701,0.0079270275
184,0.0,0.63159156,0.11507683,0.12725715,0.10724294,0.018831449
185,1.0,0.36717984,0.19805738,0.22668998,0.16561306,0.042459786
186,0.0,0.61189395,0.16776694,0.13483135,0.07196068,0.01354709
187,0.0,0.5038815,0.10389113,0.18648434,0.15318546,0.05255759
188,2.0,0.41343737,0.21937515,0.20443243,0.13663547,0.026119556
189,0.0,0.42606634,0.13897987,0.21200997,0.16799644,0.054947425
190,4.0,0.2753202,0.1001654,0.2525869,0.29199,0.07993752
191,1.0,0.35462323,0.11515845,0.22576347,0.21786864,0.08658619
192,0.0,0.4085593,0.14256224,0.20745413,0.18251975,0.058904573
193,0.0,0.9724548,0.0007269806,0.01148455,0.0152845625,4.918535e-05
194,2.0,0.22281301,0.10888877,0.274975,0.30119222,0.09213106
195,2.0,0.7694171,0.07248203,0.097417496,0.048735935,0.011947427
196,0.0,0.15384735,0.12630418,0.26085111,0.33004668,0.12895064
197,4.0,0.38659748,0.1751043,0.21037997,0.18641616,0.041502047
198,0.0,0.56897175,0.14668515,0.1576159,0.10575914,0.020968093
199,3.0,0.7893356,0.056173664,0.06648184,0.08202051,0.005988352
200,0.0,0.5987196,0.034452338,0.17365126,0.183451,0.00972579
201,0.0,0.76716197,0.0684653,0.10115016,0.051169775,0.012052877
202,2.0,0.12841636,0.13200194,0.26523125,0.33428863,0.14006187
203,2.0,0.4119316,0.19836189,0.19934744,0.15780002,0.032559097
204,0.0,0.6558566,0.11474672,0.12023264,0.0922399,0.016924234
205,2.0,0.36490571,0.2547602,0.21017106,0.13919747,0.030965542
206,3.0,0.15004157,0.13178065,0.2670337,0.3143173,0.13682675
207,3.0,0.12486619,0.10344191,0.27230814,0.32941824,0.16996548
208,0.0,0.15459868,0.12018768,0.25858253,0.35740638,0.109224685
209,0.0,0.2717928,0.119274996,0.25928327,0.2517381,0.09791085
210,2.0,0.14681916,0.11317695,0.2762108,0.3233455,0.1404476
211,0.0,0.5506934,0.10122107,0.18162808,0.12269585,0.043761615
212,3.0,0.15292944,0.10363575,0.25771314,0.33608544,0.14963621
213,0.0,0.6046955,0.108120196,0.15236212,0.10527642,0.029545778
214,0.0,0.667946,0.0777892,0.12758894,0.10260411,0.024071768
215,4.0,0.21061207,0.12076282,0.24920003,0.28807828,0.13134684
216,2.0,0.22269058,0.1213994,0.24536276,0.29129514,0.11925214
217,0.0,0.45308295,0.17703551,0.19781366,0.14177582,0.030291999
218,0.0,0.51098204,0.15971616,0.17983921,0.122897044,0.026565531
219,0.0,0.8233134,0.0630761,0.07082494,0.037824146,0.0049614306
220,0.0,0.66170985,0.09883927,0.13690148,0.08340785,0.019141566
221,3.0,0.42419624,0.17732118,0.20616382,0.15473576,0.037582975
222,3.0,0.44919288,0.1688446,0.19522978,0.15645875,0.030274002
223,3.0,0.42367315,0.18921126,0.21106833,0.1460957,0.029951608
224,1.0,0.47651136,0.20675062,0.17752637,0.11766821,0.021543467
225,0.0,0.584213,0.13296174,0.14428882,0.11433117,0.024205295
226,1.0,0.6002247,0.13206993,0.1530591,0.09050917,0.024137205
227,0.0,0.7021822,0.08797511,0.12247044,0.069055535,0.018316785
228,0.0,0.5054633,0.13195041,0.19285983,0.12999123,0.039735306
229,0.0,0.69399256,0.083188154,0.111716785,0.100974455,0.010128075
230,0.0,0.459751,0.17238641,0.19858624,0.13494237,0.034333985
231,0.0,0.90319777,0.028227635,0.04384601,0.022017106,0.0027114851
232,0.0,0.2989935,0.18881656,0.2436504,0.22613953,0.042399973
233,4.0,0.18490085,0.10739341,0.25271058,0.3086005,0.14639464
234,0.0,0.4667754,0.14847316,0.20022824,0.14481528,0.039708003
235,0.0,0.46923515,0.13863282,0.18830137,0.15681072,0.04701996
236,3.0,0.13127072,0.114402406,0.27196565,0.35664073,0.12572041
237,1.0,0.55247515,0.15998644,0.15441652,0.11115472,0.021967215
238,0.0,0.50260067,0.1701426,0.1873791,0.11079106,0.029086562
239,0.0,0.8582142,0.020590719,0.063448526,0.054345913,0.0034007134
240,0.0,0.75049996,0.072599284,0.10124572,0.06390387,0.011751201
241,3.0,0.16238347,0.12432276,0.2696271,0.2983594,0.14530726
242,0.0,0.60780245,0.11809782,0.14501569,0.11102869,0.01805536
243,2.0,0.16076675,0.097571954,0.2809709,0.32247585,0.13821459
244,1.0,0.614715,0.09791567,0.15210678,0.10980938,0.025453292
245,2.0,0.133298,0.10997123,0.26148045,0.3516399,0.14361043
246,0.0,0.6996184,0.11292271,0.11401674,0.059944876,0.013497169
247,0.0,0.59550226,0.12886032,0.14374654,0.10912964,0.022761278
248,2.0,0.38118872,0.18634228,0.22372535,0.164311,0.044432655
249,0.0,0.5708597,0.13030629,0.16407607,0.10676862,0.027989333
250,2.0,0.13826334,0.11131983,0.27100092,0.33987418,0.13954169
251,3.0,0.59930027,0.036663428,0.15856057,0.18951267,0.015963022
252,0.0,0.79290354,0.028966371,0.0929688,0.080389395,0.004771923
253,2.0,0.73126286,0.10213806,0.10506284,0.05268323,0.00885297
254,3.0,0.2565281,0.12188419,0.2533938,0.27828786,0.089906015
255,3.0,0.1814084,0.10054688,0.25829563,0.30547938,0.15426971
256,3.0,0.15359183,0.11972871,0.25916633,0.3203234,0.14718966
257,0.0,0.60709685,0.11679003,0.15753952,0.093710944,0.024862627
258,1.0,0.44760594,0.14789604,0.20527035,0.15129179,0.047935918
259,0.0,0.6888583,0.08665682,0.11077831,0.09584053,0.017866034
260,3.0,0.40652916,0.043258756,0.2219387,0.30344668,0.02482668
261,0.0,0.7395595,0.08110346,0.11007202,0.05749506,0.011769959
262,0.0,0.8110413,0.06365565,0.07526559,0.042793967,0.007243455
263,0.0,0.5691655,0.15382858,0.1580979,0.0976845,0.021223513
264,2.0,0.23656537,0.19704144,0.26942298,0.21729977,0.07967045
265,0.0,0.493691,0.17789502,0.15717992,0.14952262,0.021711335
266,2.0,0.14833769,0.122912556,0.27022973,0.32404938,0.13447064
267,0.0,0.14796273,0.14025417,0.2758528,0.3073156,0.12861474
268,0.0,0.5090806,0.10238858,0.18434383,0.15206134,0.052125655
269,0.0,0.6070137,0.117766455,0.15019196,0.10399094,0.021036893
270,1.0,0.44700208,0.18516156,0.201549,0.13300766,0.033279665
271,3.0,0.1752293,0.114316136,0.25909302,0.3209387,0.1304228
272,0.0,0.26439807,0.26476863,0.25720963,0.17791428,0.0357094
273,3.0,0.3806316,0.21940762,0.21549463,0.15078221,0.03368391
274,3.0,0.29101825,0.19512619,0.24596198,0.20271379,0.06517979
275,3.0,0.37639084,0.12377619,0.21677408,0.20701954,0.076039344
276,2.0,0.18310241,0.14567249,0.26846385,0.29162362,0.1111376
277,2.0,0.1332177,0.110849366,0.26630723,0.33619207,0.15343367
278,2.0,0.33997124,0.19864318,0.21581373,0.20059459,0.044977255
279,2.0,0.12407081,0.13172409,0.27756694,0.3439541,0.12268406
280,3.0,0.15338396,0.11952107,0.26366752,0.3177271,0.14570037
281,2.0,0.13589387,0.12779328,0.27287725,0.3186999,0.1447357
282,0.0,0.6478536,0.1252544,0.13609833,0.074100524,0.016693171
283,2.0,0.15144224,0.1057159,0.27647412,0.3137264,0.15264133
284,0.0,0.5107994,0.16982208,0.17582227,0.11807819,0.025478104
285,2.0,0.46269542,0.23282175,0.1791175,0.10403013,0.021335201
286,1.0,0.13173033,0.08859203,0.2534813,0.3666573,0.15953906
287,3.0,0.14780436,0.11575663,0.26321286,0.32934743,0.14387874
288,0.0,0.5942868,0.10163815,0.16180736,0.10900135,0.03326628
289,0.0,0.8741238,0.036412038,0.055637334,0.029367443,0.0044593066
290,2.0,0.50590277,0.12472267,0.18768984,0.14945501,0.032229714
291,0.0,0.6229732,0.13417473,0.13791008,0.0850794,0.01986265
292,3.0,0.38399082,0.19313245,0.22325209,0.15882577,0.040798936
293,0.0,0.58475256,0.14620762,0.15650669,0.090351224,0.022181882
294,1.0,0.14761335,0.11555316,0.26895344,0.31994206,0.14793798
295,0.0,0.8774779,0.010022363,0.057055604,0.05403241,0.0014116823
296,3.0,0.14245358,0.11111062,0.28122,0.33318812,0.13202773
297,2.0,0.37967604,0.24676801,0.20972969,0.13746797,0.026358226
298,2.0,0.20766713,0.10347204,0.24893194,0.29857865,0.14135024
299,0.0,0.56037205,0.06358738,0.13636315,0.20782349,0.031853918
300,1.0,0.5887291,0.13639185,0.15283436,0.0989295,0.023115205
301,1.0,0.73984176,0.05134238,0.089846075,0.103765674,0.015204074
302,0.0,0.55221736,0.13219285,0.15281689,0.14121456,0.021558354
303,2.0,0.620366,0.1074508,0.1495328,0.10121742,0.021433014
304,0.0,0.37481678,0.17099847,0.23103517,0.17626463,0.046884984
305,4.0,0.13236265,0.1181986,0.25421235,0.38218516,0.113041304
306,2.0,0.4564577,0.16392307,0.19626719,0.14698529,0.03636686
307,4.0,0.17481655,0.118807,0.2505234,0.33202228,0.12383075
308,2.0,0.13070801,0.10600067,0.26648802,0.36370847,0.13309482
309,3.0,0.16875622,0.14065571,0.26345468,0.3085281,0.1186053
310,0.0,0.638765,0.12760265,0.13857445,0.07868114,0.01637676
311,2.0,0.14915268,0.114226475,0.27217078,0.32615528,0.13829482
312,2.0,0.13713413,0.11155816,0.27063093,0.3240148,0.15666194
313,0.0,0.8697473,0.04870128,0.05595958,0.02158195,0.0040100217
314,0.0,0.5676386,0.13848835,0.16247611,0.1053835,0.026013443
315,2.0,0.6468929,0.12793548,0.1345075,0.07517325,0.015490876
316,0.0,0.508246,0.07193183,0.1913519,0.17771074,0.050759554
317,3.0,0.27568722,0.38467044,0.12740935,0.19674808,0.015484945
318,2.0,0.3320213,0.2489946,0.2330987,0.150118,0.03576738
319,2.0,0.12339681,0.12262241,0.2752843,0.33966884,0.1390276
320,0.0,0.24699076,0.22497138,0.27074727,0.21586403,0.041426573
321,1.0,0.3443719,0.24989061,0.2084619,0.1671592,0.030116312
322,3.0,0.5137509,0.15388294,0.14459507,0.17093396,0.0168371
323,2.0,0.17521206,0.16065809,0.26410034,0.29785955,0.102169946
324,0.0,0.398775,0.18108205,0.21419889,0.16817199,0.037772074
325,0.0,0.5078157,0.15463099,0.18219672,0.12419828,0.031158272
326,3.0,0.286945,0.26342306,0.22303465,0.19680515,0.029792175
327,0.0,0.5843403,0.110366695,0.1448986,0.13586406,0.024530409
328,1.0,0.42893007,0.16072276,0.20386553,0.16457482,0.0419068
329,3.0,0.7243444,0.004157584,0.09457388,0.17550234,0.0014218517
330,0.0,0.38900384,0.19382524,0.21162538,0.16770706,0.037838515
331,0.0,0.7098084,0.115808964,0.10867365,0.05471603,0.010992924
332,0.0,0.39006677,0.23476397,0.21352796,0.12929268,0.032348603
333,4.0,0.16289808,0.10618824,0.25767666,0.32688603,0.14635098
334,0.0,0.1772503,0.11910986,0.25739154,0.33787197,0.1083764
335,0.0,0.8118622,0.06533786,0.0758242,0.04064346,0.0063321777
336,3.0,0.3692604,0.17117439,0.21838044,0.18872398,0.05246086
337,2.0,0.23078465,0.110301785,0.25236294,0.2734565,0.1330941
338,2.0,0.21468459,0.11828576,0.25535324,0.28183162,0.12984477
339,4.0,0.6360695,0.118733324,0.13065872,0.09862282,0.015915694
340,1.0,0.16858159,0.11017579,0.24925563,0.33776245,0.13422453
341,3.0,0.3226152,0.23130627,0.20744996,0.20008007,0.038548477
342,1.0,0.3311496,0.19665003,0.24553539,0.175777,0.050887935
343,1.0,0.45857504,0.078750364,0.17285149,0.2323683,0.05745485
344,0.0,0.59146607,0.14832535,0.14907509,0.09010724,0.021026174
345,4.0,0.19125508,0.10530048,0.2553469,0.30050012,0.14759743
346,0.0,0.5221881,0.1770677,0.16957311,0.10585486,0.025316183
347,0.0,0.36131108,0.10614273,0.221424,0.22211492,0.0890073
348,0.0,0.86478686,0.03930667,0.059395753,0.031341538,0.005169182
349,1.0,0.3244517,0.18204772,0.24529403,0.18904053,0.05916603
350,0.0,0.48464322,0.19035687,0.1824194,0.11412788,0.028452663
351,2.0,0.15738787,0.14005022,0.2644373,0.34912217,0.089002416
352,1.0,0.13795808,0.12602486,0.27084664,0.32884535,0.13632512
353,2.0,0.15276182,0.10075867,0.26804546,0.35376486,0.12466922
354,3.0,0.2928963,0.20245467,0.24661624,0.20401779,0.054015
355,0.0,0.52946556,0.12550962,0.17699005,0.1346719,0.033362843
356,2.0,0.15751602,0.116587125,0.26927248,0.3145266,0.14209777
357,2.0,0.11444499,0.11546299,0.27235302,0.34713358,0.15060544
358,0.0,0.76737314,0.052965194,0.08901297,0.08059264,0.010056111
359,0.0,0.43889242,0.21481979,0.19738823,0.121244155,0.027655374
360,0.0,0.5943261,0.13248722,0.1563203,0.09478899,0.022077383
361,0.0,0.58705246,0.11209389,0.16479495,0.10541576,0.030643005
362,2.0,0.1432053,0.10414732,0.27037477,0.3234683,0.15880428
363,4.0,0.3004332,0.21556579,0.25151592,0.18380506,0.04868005
364,2.0,0.45855194,0.20590402,0.18727595,0.11982663,0.028441468
365,2.0,0.16356911,0.09355642,0.2618941,0.33381674,0.14716358
366,3.0,0.1719324,0.09600117,0.25508592,0.33117807,0.14580241
367,1.0,0.9458363,0.0029893678,0.027736554,0.023273217,0.00016460114
368,3.0,0.40828836,0.22437407,0.2016631,0.13485141,0.030823115
369,3.0,0.57527477,0.1328886,0.15948404,0.105504185,0.02684844
370,0.0,0.82512975,0.04870897,0.07874488,0.040017895,0.007398489
371,1.0,0.13131711,0.12059372,0.26639196,0.34649673,0.13520053
372,3.0,0.9861838,8.231344e-05,0.004089336,0.009638668,5.935985e-06
373,2.0,0.3578371,0.17365304,0.24125625,0.17862073,0.048632845
374,2.0,0.4428282,0.16150038,0.20890047,0.14970732,0.03706364
375,0.0,0.67345434,0.10808938,0.1290951,0.07368507,0.015676107
376,1.0,0.42217264,0.25614414,0.19731821,0.106947,0.017418008
377,1.0,0.29250452,0.15288904,0.2466957,0.2502631,0.05764761
378,0.0,0.6220773,0.12887722,0.14261751,0.08707956,0.019348426
379,0.0,0.49684495,0.16029616,0.18075652,0.13406722,0.028035127
380,4.0,0.14216514,0.09999488,0.26872933,0.33051848,0.15859222
381,2.0,0.5307564,0.15026799,0.16974056,0.1189691,0.03026593
382,1.0,0.985538,1.5385784e-05,0.0033399654,0.011105436,1.2083044e-06
383,1.0,0.14282458,0.11711863,0.27565894,0.34368634,0.12071153
384,0.0,0.55907255,0.09211953,0.18139747,0.13577314,0.03163734
385,0.0,0.6681739,0.121930845,0.1280401,0.067165576,0.014689636
